slope_angle_deg,bedding_dip_deg,joint_spacing_m,slope_height_m,joint_friction_deg,unit_weight_kNm3,water_ratio,FoS,data_origin,usable_for_training
61.43,69.87,7.06,22.64,28.76,23.97,0.449,1.25,synthetic_gb_solver,pretrain_only
62.63,69.3,6.812,23.39,30.88,26.35,0.173,1.445,synthetic_gb_solver,pretrain_only
76.68,65.38,4.11,15.46,44.44,26.77,0.208,1.093,synthetic_gb_solver,pretrain_only
53.71,73.22,7.367,14.56,27.45,23.38,0.696,1.446,synthetic_gb_solver,pretrain_only
63.29,69.05,10.913,40.15,37.85,24.78,0.328,1.11,synthetic_gb_solver,pretrain_only
66.09,73.29,7.743,34.69,42.77,25.12,0.188,1.577,synthetic_gb_solver,pretrain_only
59.66,71.79,8.531,32.68,26.68,26.45,0.094,1.403,synthetic_gb_solver,pretrain_only
49.67,73.32,5.595,7.71,32.51,25.95,0.579,1.959,synthetic_gb_solver,pretrain_only
62.25,73.24,10.766,30.77,25.64,24.18,0.152,1.575,synthetic_gb_solver,pretrain_only
64.71,72.61,10.059,30.0,34.74,25.36,0.661,1.087,synthetic_gb_solver,pretrain_only
47.41,73.5,5.154,19.24,23.05,25.51,0.552,1.087,synthetic_gb_solver,pretrain_only
48.86,74.39,6.68,19.94,27.69,24.73,0.53,1.624,synthetic_gb_solver,pretrain_only
52.1,70.37,11.664,30.17,23.34,23.58,0.413,1.12,synthetic_gb_solver,pretrain_only
63.05,72.12,9.053,31.74,36.12,25.99,0.196,2.028,synthetic_gb_solver,pretrain_only
56.59,69.0,5.353,16.47,35.15,23.05,0.257,1.674,synthetic_gb_solver,pretrain_only
57.88,72.27,10.792,43.85,34.59,26.28,0.09,1.776,synthetic_gb_solver,pretrain_only
60.63,71.96,3.913,17.06,39.17,25.07,0.368,1.109,synthetic_gb_solver,pretrain_only
51.07,73.78,4.315,9.4,22.29,24.49,0.185,1.393,synthetic_gb_solver,pretrain_only
54.17,74.37,5.828,13.89,27.44,24.92,0.382,1.743,synthetic_gb_solver,pretrain_only
65.72,74.8,6.12,40.76,42.21,26.96,0.182,1.02,synthetic_gb_solver,pretrain_only
65.13,74.22,11.189,37.88,22.91,25.4,0.468,1.251,synthetic_gb_solver,pretrain_only
57.39,73.38,11.359,29.61,27.54,24.52,0.553,1.539,synthetic_gb_solver,pretrain_only
54.85,74.38,8.09,17.37,26.16,24.71,0.102,1.75,synthetic_gb_solver,pretrain_only
57.83,73.77,7.472,19.11,33.91,25.5,0.639,1.941,synthetic_gb_solver,pretrain_only
49.59,73.45,8.432,26.05,32.33,26.68,0.612,1.762,synthetic_gb_solver,pretrain_only
59.36,71.16,6.469,18.12,24.39,25.38,0.101,1.323,synthetic_gb_solver,pretrain_only
58.99,72.87,6.432,23.13,30.86,26.3,0.098,1.836,synthetic_gb_solver,pretrain_only
55.57,72.39,9.877,39.42,35.39,24.67,0.4,1.412,synthetic_gb_solver,pretrain_only
49.28,74.16,11.809,25.16,28.5,25.43,0.325,1.853,synthetic_gb_solver,pretrain_only
59.57,72.55,10.581,40.19,22.06,23.25,0.079,1.193,synthetic_gb_solver,pretrain_only
62.88,71.55,1.99,6.16,38.34,26.25,0.309,2.269,synthetic_gb_solver,pretrain_only
61.25,74.51,8.617,43.92,36.81,23.41,0.201,1.068,synthetic_gb_solver,pretrain_only
69.34,70.86,1.569,5.77,39.54,25.56,0.365,1.269,synthetic_gb_solver,pretrain_only
67.17,73.41,9.006,37.95,42.04,24.77,0.653,1.112,synthetic_gb_solver,pretrain_only
58.93,69.72,7.36,13.95,27.63,26.99,0.675,1.204,synthetic_gb_solver,pretrain_only
54.33,73.11,5.511,15.81,24.87,26.98,0.035,1.526,synthetic_gb_solver,pretrain_only
75.14,71.59,7.43,36.17,44.75,24.36,0.205,1.177,synthetic_gb_solver,pretrain_only
59.73,73.4,10.315,45.98,42.36,25.85,0.383,1.331,synthetic_gb_solver,pretrain_only
57.11,74.73,5.574,13.7,32.28,23.69,0.696,1.839,synthetic_gb_solver,pretrain_only
54.57,65.86,9.485,26.34,27.23,25.83,0.305,1.019,synthetic_gb_solver,pretrain_only
51.8,72.07,7.937,26.7,24.61,23.85,0.458,1.239,synthetic_gb_solver,pretrain_only
51.39,72.41,7.632,22.1,24.28,26.71,0.157,1.408,synthetic_gb_solver,pretrain_only
74.99,73.19,10.021,58.38,42.44,24.08,0.153,1.12,synthetic_gb_solver,pretrain_only
51.28,73.42,5.498,8.86,22.93,25.06,0.387,1.364,synthetic_gb_solver,pretrain_only
67.08,74.5,11.162,47.48,22.63,23.15,0.011,1.444,synthetic_gb_solver,pretrain_only
56.66,73.9,9.814,33.76,31.36,26.13,0.279,2.014,synthetic_gb_solver,pretrain_only
